company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
/company/abd-serotec,AbD Serotec,biotech,GBR,NC,Raleigh-Durham,Raleigh,/company/bio-rad-laboratories,Bio-Rad Laboratories,biotech,USA,CA,SF Bay,Hercules,1/10/13,2013-01,2013-Q1,2013,,USD
/company/abebooks,AbeBooks,web,CAN,,Victoria,Victoria,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,8/1/08,2008-08,2008-Q3,2008,,USD
/company/abfrontier,Abfrontier,biotech,KOR,,Seoul,Seoul,/company/young-in-frontier,Young in Frontier,biotech,,,unknown,,2/12/08,2008-02,2008-Q1,2008,"23,650,000",USD
/company/abilitycrm,AbilityCRM,,USA,AZ,Phoenix,Scottsdale,/company/business-decision,Business & Decision,consulting,USA,PA,Philadelphia,Wayne,7/2/12,2012-07,2012-Q3,2012,,USD
/company/abnormal-returns,Abnormal Returns,web,,,unknown,,/company/stocktwits,StockTwits,web,USA,CA,San Diego,San Diego,1/25/10,2010-01,2010-Q1,2010,,USD
/company/about-me,About Me!,,USA,CA,California - Other,,/company/shutterfly,Shutterfly,ecommerce,USA,CA,SF Bay,Redwood City,6/27/07,2007-06,2007-Q2,2007,,USD
/company/about-reverse-mortgages,About Reverse Mortgages,,,,unknown,,/company/reverse-mortgage-lenders-direct,Reverse Mortgage Lenders Direct,finance,USA,FL,Fort Lauderdale,Ft Lauderdale,9/8/12,2012-09,2012-Q3,2012,"50,000",USD
/company/about-com,About.com,web,USA,,United States - Other,,/company/iac,IAC,news,USA,NY,New York,New York,8/27/12,2012-08,2012-Q3,2012,"300,000,000",USD
/company/about-com,About.com,web,USA,,United States - Other,,/company/newyorktimes,New York Times,news,USA,NY,New York,New York,3/18/05,2005-03,2005-Q1,2005,"410,000,000",USD
/company/aboutme,about.me,web,USA,CA,SF Bay,San Francisco,/company/tony-conrad-ryan-freitas,Tony Conrad & Ryan Freitas,,,,unknown,,2/5/13,2013-02,2013-Q1,2013,,USD
/company/aboutme,about.me,web,USA,CA,SF Bay,San Francisco,/company/aol,AOL,web,USA,NY,New York,New York,12/20/10,2010-12,2010-Q4,2010,"35,000,000",USD
/company/aboutweblogs,AboutWeblogs,web,AUS,,Mawson Lakes,Mawson Lakes,/company/b5media,b5media,web,CAN,,Toronto,"Toronto, ON",11/7/05,2005-11,2005-Q4,2005,,USD
/company/abovenet,AboveNet,network_hosting,USA,NY,New York,White Plains,/company/zayo-group,Zayo Group,public_relations,USA,CO,Denver,Louisville,7/2/12,2012-07,2012-Q3,2012,,USD
/company/abovenet,AboveNet,network_hosting,USA,NY,New York,White Plains,/company/zayo-bandwidth,Zayo Bandwidth,network_hosting,USA,CO,Denver,Louisville,3/19/12,2012-03,2012-Q1,2012,"2,200,000,000",USD
/company/abr-affinity-bioreagents,ABR--Affinity BioReagents,biotech,USA,CO,Denver,Golden,/company/thermo-fisher-scientific,Thermo Fisher Scientific,biotech,USA,MA,Boston,Waltham,7/17/08,2008-07,2008-Q3,2008,,USD
/company/abraxis-bioscience,Abraxis BioScience,biotech,USA,CA,Los Angeles,Los Angeles,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,6/30/10,2010-06,2010-Q2,2010,"2,900,000,000",USD
/company/absolute-intuistic,Absolute Intuistic,software,GBR,,London,Richmond,/company/communisis,Communisis,public_relations,GBR,,Leeds,Leeds,12/22/08,2008-12,2008-Q4,2008,"19,430,000",USD
/company/absolute-punk,Absolute Punk,games_video,,,unknown,,/company/spin-media,SpinMedia,music,USA,CA,Los Angeles,Hollywood,5/5/08,2008-05,2008-Q2,2008,,USD
/company/virgin-radio,Absolute Radio,advertising,GBR,,London,London,/company/timl-golden-square,TIML Golden Square,,,,unknown,,5/31/08,2008-05,2008-Q2,2008,"105,300,000",USD
/company/absorbent-ink,"Absorbent, Ink.",ecommerce,USA,TX,Austin,Austin,/company/printglobe,PrintGlobe,ecommerce,USA,TX,Austin,Austin,1/12/10,2010-01,2010-Q1,2010,,USD
/company/academic-earth,Academic Earth,education,USA,CA,SF Bay,San Francisco,/company/ampush-media,Ampush,advertising,USA,CA,SF Bay,San Francisco,10/10/11,2011-10,2011-Q4,2011,,USD
/company/academic-management-systems,Academic Management Systems,,USA,NY,Amherst,Amherst,/company/connectedu,ConnectEdu,education,USA,MA,Boston,Boston,9/24/10,2010-09,2010-Q3,2010,,USD
/company/academy123,Academy123,,USA,CA,Los Angeles,Westlake Village,/company/discoverycommunications,Discovery Communications,web,USA,,TBD,,5/1/06,2006-05,2006-Q2,2006,,USD
/company/acadia,Acadia,enterprise,USA,TX,Dallas,Dallas,/company/vce,VCE,enterprise,USA,TX,Dallas,Richardson,1/20/11,2011-01,2011-Q1,2011,,USD
/company/acambis,Acambis,biotech,GBR,,London,Cambridge,/company/sanofi-pasteur,Sanofi Pasteur,biotech,FRA,,Lyon,Lyon,7/25/08,2008-07,2008-Q3,2008,"564,960,000",USD
/company/acartus,Acartus,,,,unknown,,/company/emc,EMC,enterprise,USA,MA,Boston,Hopkinton,10/26/05,2005-10,2005-Q4,2005,,USD
