company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
/company/3dcart-shopping-cart-software,3dCart Shopping Cart Software,ecommerce,USA,FL,Fort Lauderdale,Lauderhill,angel,1/1/10,2010-01,2010-Q1,2010,"1,250,000"
/company/3desk,3Sourcing,search,USA,CA,SF Bay,San Francisco,angel,10/29/13,2013-10,2013-Q4,2013,
/company/3divi-company,3DiVi Company,software,RUS,,unknown,Miass,series-a,1/1/11,2011-01,2011-Q1,2011,"1,870,000"
/company/3dr-laboratories,3DR Laboratories,biotech,USA,KY,Louisville,Louisville,venture,8/23/12,2012-08,2012-Q3,2012,"7,200,000"
/company/3dsoc,3DSoC,mobile,IND,,Bangalore,Bangalore,series-a,12/1/07,2007-12,2007-Q4,2007,
/company/3dvista,3DVista,software,,,unknown,,venture,6/3/08,2008-06,2008-Q2,2008,"475,000"
/company/3floz-com,3FLOZ,other,USA,NY,New York,New York,angel,8/16/13,2013-08,2013-Q3,2013,"750,000"
/company/3g-multimedia,3G Multimedia,music,HUN,,Budapest,Budapest,series-a,1/1/11,2011-01,2011-Q1,2011,"1,700,000"
/company/3gear-systems,3Gear Systems,software,USA,CA,SF Bay,San Francisco,angel,3/30/12,2012-03,2012-Q1,2012,"349,999"
/company/3guppies,3Guppies,games_video,USA,WA,Seattle,Seattle,series-a,4/5/06,2006-04,2006-Q2,2006,"20,000,000"
